pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
41932_25413,41932,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9715471863746643
41931_25413,41931,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9718325734138489
41930_25413,41930,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9716918468475342
41929_25413,41929,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9713175296783447
41928_25413,41928,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9711775779724121
41927_25413,41927,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9705458879470825
41926_25413,41926,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9703919291496277
41893_25413,41893,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9693989753723145
41892_25413,41892,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9690375924110413
41923_25413,41923,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9702741503715515
41922_25413,41922,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9702465534210205
41921_25413,41921,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.969975471496582
41920_25413,41920,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.96992027759552
41919_25413,41919,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9699819087982178
41918_25413,41918,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9700025320053101
41917_25413,41917,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9700058698654175
41916_25413,41916,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9699905514717102
41915_25413,41915,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.970038115978241
41914_25413,41914,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9701268672943115
41913_25413,41913,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9696064591407776
41912_25413,41912,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9691821336746216
41911_25413,41911,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685472846031189
41910_25413,41910,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9684329628944397
41877_25413,41877,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9690070748329163
41876_25413,41876,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.968666672706604
41907_25413,41907,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9681367874145508
41906_25413,41906,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685142636299133
41905_25413,41905,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9684839844703674
41904_25413,41904,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9682996273040771
